,timestamp,value,degree
119,2021-01-15,4.3951403507367545e+24,1662
120,2021-01-16,4.624229548236048e+24,2275
121,2021-01-17,3.9316532107735455e+24,2367
122,2021-01-18,3.910834477453338e+24,2208
123,2021-01-19,3.063802287060966e+24,1780
124,2021-01-20,2.53292634830951e+24,1310
125,2021-01-21,3.452025243885632e+24,1270
126,2021-01-22,2.626478083684641e+24,1137
127,2021-01-23,2.7574480309016975e+24,1280
128,2021-01-24,4.5730395591993617e+24,2733
129,2021-01-25,5.005324686594775e+24,2642
130,2021-01-26,5.321894931071959e+24,3225
131,2021-01-27,4.3317385028667146e+24,3183
132,2021-01-28,3.4292128398158195e+24,3141
133,2021-01-29,3.8934785518875505e+24,2781
134,2021-01-30,4.74053537369298e+24,3669
135,2021-01-31,4.662716072269778e+24,3890
136,2021-02-01,4.840650795658678e+24,3106
137,2021-02-02,5.197737620334236e+24,2693
138,2021-02-03,1.85288904128053e+24,1858
139,2021-02-04,2.63715928035707e+24,1819
140,2021-02-05,1.8549870654789289e+24,1594
141,2021-02-06,1.7543548087090656e+24,1595
142,2021-02-07,1.4248303259244745e+24,1411
143,2021-02-08,1.553926719865181e+24,1273
144,2021-02-09,1.0338805651567053e+24,1072
145,2021-02-10,2.4408658019090666e+24,1508
146,2021-02-11,9.982286258583178e+23,1264
147,2021-02-12,1.6879895836997772e+24,1676
148,2021-02-13,9.660648070625114e+23,1307
149,2021-02-14,8.892229226666109e+23,1225
150,2021-02-15,2.0140123422450484e+24,1260
151,2021-02-16,1.2645816338983148e+24,1137
152,2021-02-17,1.1385613527339427e+24,1055
153,2021-02-18,9.375043405995606e+23,985
154,2021-02-19,1.6800752076833934e+24,1309
155,2021-02-20,6.910287206729066e+24,3390
156,2021-02-21,3.271187366236515e+24,2426
157,2021-02-22,2.5817075734520255e+24,1578
158,2021-02-23,4.2328238896688607e+24,1665
159,2021-02-24,1.5975489425137562e+24,1318
160,2021-02-25,1.1180517297245521e+24,1097
161,2021-02-26,1.7659932359490218e+24,1186
162,2021-02-27,1.7948896742416022e+24,1055
163,2021-02-28,3.0283047905440446e+24,1141
164,2021-03-01,1.0708103932686725e+24,1128
165,2021-03-02,1.2493883897256135e+24,1237
166,2021-03-03,7.502181363731402e+23,796
167,2021-03-04,2.179436109329127e+24,1979
168,2021-03-05,1.260444163077334e+24,1230
169,2021-03-06,9.722796295676878e+23,1334
170,2021-03-07,2.255968773185176e+24,2169
171,2021-03-08,1.7419001333439456e+24,1876
172,2021-03-09,6.681154391847584e+23,1293
173,2021-03-10,5.9437092563604756e+23,1259
174,2021-03-11,7.669968927609574e+23,1113
175,2021-03-12,3.81541236988829e+23,898
176,2021-03-13,6.424023360331698e+23,1068
177,2021-03-14,3.749177335090236e+23,986
178,2021-03-15,3.267959463506236e+23,848
179,2021-03-16,4.0268257026654786e+23,798
180,2021-03-17,5.846046058351431e+23,882
181,2021-03-18,4.222845878989378e+23,738
182,2021-03-19,7.76560585244154e+23,1076
183,2021-03-20,1.748192450184915e+24,1240
184,2021-03-21,3.342799091147013e+23,850
185,2021-03-22,1.0717706592773251e+24,1327
186,2021-03-23,2.554384261574334e+24,2226
187,2021-03-24,1.745458345406412e+24,1585
188,2021-03-25,1.2079106840377805e+24,1067
189,2021-03-26,7.700861779635531e+23,1032
190,2021-03-27,3.2804153109100244e+23,823
191,2021-03-28,3.3589962048518836e+23,821
192,2021-03-29,4.449245849824561e+23,832
193,2021-03-30,6.789135941621494e+23,866
194,2021-03-31,4.2313878284251836e+23,740
195,2021-04-01,9.685118277515292e+23,890
196,2021-04-02,8.350319787583557e+23,835
197,2021-04-03,7.74070897394306e+23,889
198,2021-04-04,4.838668590396389e+23,748
199,2021-04-05,3.5645923528181285e+23,683
200,2021-04-06,4.367312948566165e+23,804
201,2021-04-07,5.413213078620664e+23,794
202,2021-04-08,3.127692389157696e+23,850
203,2021-04-09,2.2288305126461958e+23,732
204,2021-04-10,3.095814613210034e+23,743
205,2021-04-11,3.410649217919975e+23,838
206,2021-04-12,3.3012161629609376e+24,1977
207,2021-04-13,8.805289383124717e+23,1228
208,2021-04-14,9.068251193894042e+23,1019
209,2021-04-15,8.827015657273113e+23,1223
210,2021-04-16,5.7968273849547024e+23,842
211,2021-04-17,3.312684064665502e+23,859
212,2021-04-18,1.1133894582628275e+24,1052
213,2021-04-19,5.6883752463479443e+23,837
214,2021-04-20,1.8814049642015116e+24,940
215,2021-04-21,1.0675030479934605e+24,1114
216,2021-04-22,1.2422126426761962e+24,1455
217,2021-04-23,8.2960705578194e+23,1024
218,2021-04-24,4.674506830394104e+23,1017
