,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,time,priceUSD,SplyFF,TxTfrValMeanUSD,TxTfrValUSD
0,3.551625167295604e-05,0.0020422605861269327,0.022104952650663687,0.11405566217183546,0.6407673690187674,1.3986301307007102e-05,0.0007681113377525081,0.003319691937621189,2020-09-18,6.99545203824067,103306030.27247173,9872.77284993826,1288495584.6454425
1,7.551723824114148e-05,0.00295898742796671,0.02516329408184274,0.12910526139099887,0.6914593684461474,3.997559896309995e-05,0.0011328280098895085,0.004793835421247878,2020-09-19,5.67805300146792,109899084.54004689,6897.924889520332,439790997.1811478
2,0.00014360968028877545,0.004302965453407863,0.031755600220843595,0.14664903535453216,0.7053867603374183,9.841385607530821e-05,0.0018571220275704085,0.006363447917672119,2020-09-20,5.25496748535677,113101320.43381193,7023.4654946174,259657519.33600527
3,0.00017719619959542782,0.004429580443777133,0.023876619088374768,0.12536528071966496,0.7113854892797999,9.846213893542423e-05,0.0020633262579157546,0.007080998400719825,2020-09-21,4.34557335650123,115213357.73846656,6770.829897589724,201323856.17493284
4,0.00024308798481863852,0.005259719270160426,0.02428571349495786,0.1121173510891445,0.722542976675248,0.0001640233613141771,0.002566578646514863,0.00784779238731312,2020-09-22,3.91892040462963,116522932.87943056,6529.656377233236,169855951.34096816
5,0.00024037664658379043,0.005715132389213416,0.035835174239942244,0.151479148778371,0.7241856330388573,0.0001980011415262723,0.002683671311415061,0.0075793826828067365,2020-09-23,4.35297088492621,118076430.677797,7448.809339354454,213102986.3895916
6,0.00020240783038552937,0.004786481528595652,0.023556551028387038,0.12772906296226408,0.7325686754117496,0.00010822936404550241,0.0022036337862083827,0.007648463047281538,2020-09-24,5.14809633573024,118926372.42274368,7666.4255651986205,192381283.13309416
7,0.00033719712620367497,0.006443062937771728,0.032188801976405085,0.14793504685530637,0.7279569080325745,0.0002916939223096986,0.003175087033891544,0.009209860930468158,2020-09-25,4.93031465174057,119661339.28697546,6512.071948737493,121267803.8293896
8,0.00030550311958355155,0.0057564692471097,0.02432336228521794,0.11219338164961219,0.7704293009843214,0.0002909170954399079,0.0034289333195523805,0.008662529466627019,2020-09-26,4.87241556512027,120266294.63539712,6950.3197814385785,140257453.18943053
9,0.00039283192803889265,0.006392647720639239,0.03130089027944129,0.14593610765198106,0.7455622195453873,0.0003642614052937775,0.0029760240924906855,0.010090130712893865,2020-09-27,4.832717206036,120824814.61501545,4593.541689648558,73221054.53299801
10,0.000410024761959567,0.006767649105668009,0.023718925103986262,0.11041469754490324,0.749319419237762,0.00031565902589962823,0.003276254146757407,0.010388310602812915,2020-09-28,4.26144504290827,121337639.76170756,7352.281922225415,106586031.02650183
11,0.00040928433369268654,0.006424096055510546,0.01645534165208044,0.09951754832195239,0.7505598445599609,0.0002335313346646485,0.0032255115249165095,0.010967201286499379,2020-09-29,4.32565837616839,121797162.66897915,6910.600587653503,82491839.21481988
12,0.0004468616695481228,0.006720620567866693,0.021651827094906012,0.10727337914992813,0.7397882670445499,0.00040138402541543665,0.003648625177928421,0.011223254707251615,2020-09-30,4.16427939605593,122768010.45132747,6220.566824972157,71387224.88338047
13,0.0004958842728954526,0.007552583130740486,0.023804809315038568,0.11669090510304556,0.7451266523180474,0.00047665933015262593,0.003559133161860937,0.011143873115512057,2020-10-01,4.23817846322974,123142988.66384885,7488.867596977981,98770674.7365426
14,0.0004998919241271939,0.007303922620242324,0.018865638004295804,0.10578367790856255,0.7461825933403896,0.00037318814792233404,0.0038139740700065595,0.011548097878427137,2020-10-02,3.89563481669296,123530079.87595163,11928.81201789554,135761809.57566917
15,0.0006094413080719328,0.008190650932165665,0.024704964870605046,0.1182666633976467,0.7317277557211614,0.0005096265012914551,0.004096717980218059,0.012778760407337124,2020-10-03,3.91289689900195,123908761.63728525,10422.142328770033,97394920.06235594
16,0.0006020731808751008,0.008259535235514653,0.027196983762023764,0.12572645787906916,0.7250804985657745,0.0005295945645984732,0.00445471981536769,0.012521948784283208,2020-10-04,3.72849090601519,124822273.99037008,7658.6185622320445,73637617.47586112
17,0.0005599103629108173,0.008154983290260407,0.036542299813477695,0.16425309518670106,0.7309860326701374,0.0005511548735916091,0.004238916160067603,0.011557118097695598,2020-10-05,3.30644779451683,125285623.788701,6477.660859570517,78755400.73065834
18,0.000495362478893077,0.007708070518198264,0.026914192017843036,0.1315361104945606,0.7341411050380109,0.00038000337780780274,0.004153746067093754,0.010990418130474394,2020-10-06,2.70381004375681,125693421.8066909,9419.006417727567,121825429.00688834
19,0.0006077928694529992,0.008460293801560274,0.02590058158878891,0.121905670820966,0.7500964650853712,0.000627397731517719,0.004423154229325445,0.01147089708332206,2020-10-07,2.9644210683312,126001728.4579385,7845.532446082301,104023914.70260522
20,0.000650738987724808,0.008450840046205063,0.028936608162158706,0.14005697367841413,0.7485119236676175,0.0006120385318171335,0.004510360984512471,0.01203353856256202,2020-10-08,3.31191020672365,126345076.39280315,7068.196053423833,84054987.46731624
21,0.0007302602822485223,0.008943927778409083,0.026071310113624024,0.12952551918552943,0.7486704806335085,0.0007318177892377953,0.004337167589106479,0.012951935452431517,2020-10-09,3.41983939217125,126709117.33194494,8064.053995328926,84293556.41317327
22,0.0007654951092908162,0.008700028956341813,0.01930977555892994,0.1087134070727071,0.7473696999579703,0.0005918828848387654,0.004414284688333188,0.013563514504128741,2020-10-10,3.30333754504313,127159294.09979336,4423.7056506364215,40729057.92540953
